pred_x_m	pred_y_m	predicted_area	true_area
6.6593623	10.70169	B	B
5.506671	13.25276	B	B
3.7908256	17.055847	B	B
7.594224	0.09285045	B	B
4.707879	14.999822	B	B
7.744479	1.2083867	B	B
7.917813	2.1270742	B	B
4.547407	15.44086	B	B
6.7284455	10.370027	B	B
7.4458303	8.875707	B	B
7.2831497	5.186684	B	B
3.712083	17.318253	B	B
6.498752	11.465681	B	B
5.7946916	12.871111	B	B
3.3740308	18.178757	B	B
4.3297334	16.006638	B	B
6.0896287	12.319828	B	B
2.991775	18.717781	B	B
7.478369	-0.8789073	B	B
6.6510997	10.911172	B	B
7.2577534	5.39067	B	B
6.7202744	10.5259	B	B
6.5444217	11.326466	B	B
7.739244	3.6181302	B	B
7.7216635	-0.55273867	B	B
7.6080055	3.6635542	B	B
6.11852	12.002737	B	B
4.885903	14.69473	B	B
5.04711	14.391345	B	B
3.0513186	18.586826	B	B
6.541068	11.516881	B	B
7.6176915	7.8564854	B	B
7.7489696	1.136123	B	B
5.264731	14.130952	B	B
3.9747906	16.531895	B	B
7.1710434	7.847415	B	B
6.765804	10.060516	B	B
7.4204316	-0.3872794	B	B
7.1233225	8.424103	B	B
4.184115	16.224304	B	B
7.6627645	-0.55162513	B	B
7.7316337	3.8136592	B	B
5.6730266	12.946116	B	B
7.513485	-1.3544543	B	B
6.428826	11.366538	B	B
6.7056293	10.480161	B	B
7.806161	-0.9087677	B	B
3.8093698	16.94291	B	B
5.1685705	14.285483	B	B
3.3428097	18.257935	B	B
4.339862	15.778363	B	B
7.5944667	0.16895676	B	B
7.458382	8.074759	B	B
7.685049	-0.23263872	B	B
7.606669	4.6770554	B	B
7.74209	0.83820343	B	B
7.673678	-0.2295512	B	B
3.3118799	18.201664	B	B
8.190699	1.7194388	B	B
7.684039	0.02640152	B	B
5.135238	14.338279	B	B
3.9676886	16.731464	B	B
6.5282655	11.181306	B	B
4.1810403	16.5029	B	B
7.3224287	6.51766	B	B
7.443167	8.811886	B	B
3.770685	17.091614	B	B
3.3379316	18.132282	B	B
3.830958	16.998161	B	B
7.720164	-0.9305079	B	B
5.586922	12.80189	B	B
7.9226613	2.8961601	B	B
4.3880653	15.970386	B	B
7.4365344	-0.30874932	B	B
5.0258856	14.443696	B	B
3.3049684	18.32402	B	B
3.8049545	17.071396	B	B
3.2821405	18.117619	B	B
5.205262	13.696481	B	B
7.0852733	7.970479	B	B
7.7550077	3.8102202	B	B
7.033207	8.431545	B	B
7.103107	8.884023	B	B
3.320494	18.13068	B	B
7.5084696	6.8944826	B	B
7.820512	0.7535825	B	B
7.3497744	5.541119	B	B
7.626373	0.37478662	B	B
6.630893	10.940082	B	B
8.270192	2.2650824	B	B
7.7843447	4.0588126	B	B
7.7300224	2.2475958	B	B
7.5038857	6.569027	B	B
11.774074	31.387321	C	C
8.200292	24.74376	C	C
8.123645	27.159615	C	C
8.461236	26.406322	C	C
8.4894495	27.062645	C	C
8.123934	28.23122	C	C
10.786306	31.675678	C	C
11.349375	31.746601	C	C
11.011052	31.230743	C	C
8.2639885	28.723942	C	C
11.391801	31.089233	C	C
7.99665	29.3558	C	C
11.497621	31.209694	C	C
10.311846	31.093819	C	C
9.336241	31.214668	C	C
8.206634	28.582928	C	C
10.329694	31.170708	C	C
7.711358	29.895523	C	C
8.275646	28.95311	C	C
9.336945	30.320229	C	C
8.200943	23.090782	C	C
8.246455	25.007133	C	C
11.724351	31.514488	C	C
11.5543165	31.079376	C	C
8.603578	25.864277	C	C
8.523429	25.895298	C	C
8.479151	26.01373	C	C
7.878823	25.502972	C	C
8.166375	22.91277	C	C
8.746623	29.497883	C	C
8.13985	25.37849	C	C
8.297944	29.968243	C	C
10.3486395	31.14367	C	C
8.120199	26.966358	C	C
11.477941	31.659779	C	C
8.735072	29.362038	C	C
8.171533	23.510708	C	C
8.055008	27.480736	C	C
10.743528	31.729557	C	C
10.642115	31.294605	C	C
10.314573	30.79256	C	C
8.112079	21.636223	C	C
9.297309	30.070786	C	C
7.8211784	29.1433	C	C
7.778408	29.014874	C	C
11.742845	31.352707	C	C
8.198596	23.307373	C	C
8.09094	27.670559	C	C
8.266636	24.1628	C	C
9.244738	29.445297	C	C
11.383611	31.741795	C	C
8.191964	23.2981	C	C
9.653324	30.908112	C	C
7.955649	27.549187	C	C
11.240031	30.189121	C	C
8.141911	28.7155	C	C
11.430135	30.952438	C	C
8.0559435	27.264866	C	C
10.602725	30.664814	C	C
8.078015	27.394417	C	C
8.74562	29.591076	C	C
8.048636	21.793755	C	C
8.023001	28.041069	C	C
21.111792	31.22892	D	D
26.751392	33.691677	D	D
27.163013	33.835953	D	D
25.305193	33.165573	D	D
24.704388	32.78919	D	D
22.010208	32.160084	D	D
21.19581	31.733292	D	D
19.099333	31.15694	D	D
19.732391	31.175682	D	D
24.268044	32.74533	D	D
22.480549	32.34246	D	D
19.236029	30.78049	D	D
21.53311	31.790943	D	D
15.61636	31.06683	D	D
19.031452	31.165562	D	D
21.643263	32.034374	D	D
12.758092	30.43819	D	D
15.541235	31.226501	D	D
13.037496	29.949112	D	D
21.413069	32.10235	D	D
21.29294	31.245163	D	D
24.681774	31.937874	D	D
19.09272	31.694359	D	D
16.441029	31.08083	D	D
12.42506	30.828129	D	D
16.64184	31.451912	D	D
20.864584	31.60498	D	D
19.640545	31.261662	D	D
15.851617	30.147457	D	D
21.677927	31.140186	D	D
19.271414	30.771927	D	D
24.256536	32.878975	D	D
19.152536	31.194294	D	D
27.377033	34.031364	D	D
17.772203	31.025448	D	D
24.771484	33.029778	D	D
27.398396	33.745564	D	D
26.443596	33.86072	D	D
12.59335	30.056274	D	D
26.238401	34.189896	D	D
24.196539	32.644512	D	D
26.930058	33.96842	D	D
16.372526	30.854824	D	D
12.2884245	30.328533	D	D
27.74234	34.2154	D	D
23.015697	32.43667	D	D
20.694897	31.548592	D	D
16.000076	31.157654	D	D
24.990377	33.09618	D	D
28.406462	34.562504	D	D
16.20589	30.69751	D	D
20.536983	31.368305	D	D
16.601622	31.136845	D	D
26.33398	33.54966	D	D
25.270216	33.136463	D	D
28.152525	34.658337	D	D
18.024424	31.314732	D	D
16.784355	31.50777	D	D
27.57725	34.064503	D	D
16.902243	31.118084	D	D
13.42959	30.635876	D	D
13.772665	30.308838	D	D
15.147233	30.723114	D	D
19.696655	31.242085	D	D
18.310005	31.25185	D	D
18.193718	31.229412	D	D
18.002659	31.46978	D	D
16.814749	31.528038	D	D
21.649864	31.490215	D	D
25.698044	32.968697	D	D
19.081049	31.28975	D	D
24.889284	33.138714	D	D
20.769733	31.927376	D	D
16.79784	31.531929	D	D
13.019453	30.323727	D	D
13.269612	30.057682	D	D
23.125425	32.63581	D	D
14.732035	31.160278	D	D
20.56037	31.678509	D	D
19.38969	30.85952	D	D
28.470537	35.36579	E	E
28.58778	35.754547	E	E
27.983389	32.51045	E	E
28.150042	33.63342	E	E
28.188782	35.65527	E	E
27.276228	33.480362	E	E
27.940203	36.1387	E	E
26.992195	39.38602	E	E
27.661032	39.157413	E	E
28.194	32.797306	E	E
28.099174	33.719505	E	E
28.294407	38.56037	E	E
28.091091	32.81142	E	E
28.570948	34.086216	E	E
27.927328	32.39051	E	E
27.791908	37.649693	E	E
28.189737	38.8692	E	E
28.357828	39.01778	E	E
27.86235	31.832355	E	E
27.65822	38.483643	E	E
27.823576	35.077396	E	E
27.159252	39.652042	E	E
28.039507	33.74531	E	E
27.585768	37.941387	E	E
27.797863	32.338	E	E
27.973822	31.69231	E	E
27.931412	37.924824	E	E
28.354826	35.887707	E	E
27.414513	41.618015	E	E
28.078194	31.943348	E	E
28.319933	31.300217	E	E
27.448938	39.536137	E	E
28.441292	31.534588	E	E
27.310144	34.03714	E	E
28.31635	31.950977	E	E
27.551432	32.873405	E	E
27.899511	33.373665	E	E
28.134912	34.86327	E	E
26.812485	38.266613	E	E
28.222157	31.347366	E	E
27.530928	40.198536	E	E
28.433672	33.312943	E	E
28.06909	33.350266	E	E
27.899893	37.692368	E	E
27.458588	39.18196	E	E
28.264732	37.071102	E	E
28.028767	32.039406	E	E
27.633148	37.937336	E	E
27.88708	37.52986	E	E
27.428484	38.70094	E	E
28.029158	32.672924	E	E
28.105856	33.529694	E	E
27.622648	38.849113	E	E
28.206884	34.86651	E	E
27.92166	38.143852	E	E
